level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,4590,260,44,146,95.0, 
5,1,1,1,1,2,4639,406,15,56,95.0, 
5,1,1,1,2,1,3860,462,16,92,95.0, 
5,1,2,1,1,1,306,303,255,117,96.21006,Epic
5,1,2,1,1,2,601,308,364,94,95.832031,Dental
5,1,2,1,1,3,1009,310,207,91,95.832031,Lab
5,1,2,1,1,4,3721,313,490,93,95.300987,INVOICE
5,1,2,1,1,5,4244,309,329,96,95.300987,#5371
5,1,2,1,2,1,461,477,25,9,0.0,'
5,1,3,1,1,1,303,521,335,75,95.838585,"Roseburg,"
5,1,3,1,1,2,663,524,125,67,95.873222,"OR,"
5,1,3,1,1,3,813,526,217,65,96.395683,"97470,"
5,1,3,1,1,4,1059,524,203,57,96.513481,United
5,1,3,1,1,5,1288,524,203,55,96.368889,States
5,1,3,1,2,1,302,607,246,58,95.859428,Phone:
5,1,3,1,2,2,572,611,444,56,93.930733,541-643-7181
5,1,3,1,2,3,1069,608,402,58,93.930733,5416437074
5,1,3,1,3,1,302,693,836,73,85.144989,epicdentallab@gmail.com
5,1,4,1,1,1,340,1130,231,62,96.020775,Pacific
5,1,4,1,1,2,591,1131,192,62,96.185455,Crest
5,1,4,1,1,3,803,1131,236,63,96.342438,Smiles
5,1,4,1,1,4,3843,1132,184,62,96.603699,Case
5,1,4,1,1,5,4052,1133,297,61,95.976288,Number:
5,1,4,1,1,6,4378,1132,167,61,96.269798,5371
5,1,5,1,1,1,336,1222,219,62,96.195351,ATTN:
5,1,5,1,1,2,576,1223,326,62,95.995865,Accounts
5,1,5,1,1,3,927,1224,283,77,96.246902,Payable
5,1,5,1,2,1,341,1314,170,61,91.579201,1683
5,1,5,1,2,2,533,1315,77,59,90.566185,W
5,1,5,1,2,3,633,1315,277,61,96.239655,Harvard
5,1,5,1,2,4,930,1316,136,61,96.747742,Ave
5,1,5,1,2,5,3316,1322,344,61,96.428421,Customer
5,1,5,1,2,6,3684,1318,94,62,93.569031,ID:
5,1,5,1,2,7,3807,1316,254,63,95.89325,Pacific
5,1,5,1,2,8,4085,1315,204,62,95.89325,Crest
5,1,5,1,2,9,4311,1313,241,63,96.251602,Riddle
5,1,6,1,1,1,339,1404,356,78,96.124489,"Roseburg,"
5,1,6,1,1,2,724,1405,135,72,95.840813,"OR,"
5,1,6,1,1,3,887,1407,236,72,96.282974,"97471,"
5,1,6,1,1,4,1154,1409,223,62,96.748665,United
5,1,6,1,1,5,1404,1411,223,64,96.552361,States
5,1,6,1,1,6,3722,1455,20,8,0.0,:
5,1,6,1,2,1,4300,1497,248,61,95.267609,Shade:
5,1,7,1,1,1,305,1700,258,122,56.884651,Qty
5,1,7,1,1,2,637,1701,1140,133,0.0,ProductIDO
5,1,7,1,1,3,4191,1699,119,158,42.465729,__
5,1,7,1,1,4,4195,1706,386,120,74.240257,Price
5,1,7,1,1,5,4559,1699,27,158,74.240257,|
5,1,7,1,2,1,637,1869,192,45,67.630562,Proce
5,1,7,1,2,2,2472,1876,279,61,93.29615,Process
5,1,7,1,2,3,2777,1876,156,61,92.111382,FUD
5,1,7,1,2,4,2956,1879,66,57,96.518494,to
5,1,7,1,2,5,3041,1875,183,62,96.040131,finish
5,1,7,1,3,1,2472,1997,279,61,96.442978,Process
5,1,7,1,3,2,2775,1998,187,60,95.056114,lower
5,1,7,1,3,3,2984,1997,209,74,96.509468,partial
5,1,7,1,3,4,3214,1999,68,57,96.997681,to
5,1,7,1,3,5,3302,1995,184,60,96.208633,finish
5,1,8,1,1,1,2472,2118,72,59,96.275955,ID
5,1,8,1,1,2,2566,2118,124,75,96.92157,Tag
5,1,9,1,1,1,256,246,44,252,95.0, 
5,1,9,1,1,2,3620,260,45,202,95.0, 
5,1,9,1,1,3,4639,462,15,92,95.0, 
5,1,10,1,1,1,3371,2291,327,61,96.660583,Extended
5,1,10,1,1,2,3718,2291,293,59,96.384079,Amount:
5,1,10,1,1,3,4253,2283,290,72,96.690224,$336.00
5,1,10,1,2,1,3377,2383,269,59,93.148109,invoice
5,1,10,1,2,2,3671,2381,339,61,96.168495,Subtotal:
5,1,10,1,2,3,4252,2374,289,71,96.249565,$336.00
5,1,11,1,1,1,364,2522,231,57,91.439468,Invoice
5,1,11,1,1,2,618,2524,205,67,96.356659,Notes:
5,1,12,1,1,1,248,894,4419,2175,95.0, 
